date,ibov,mcs,spx
15oct1994,,,
16oct1994,,,
17oct1994,4784.4,5158.35,468.96
18oct1994,4909.6,5152.27,467.66
19oct1994,4758.7,5151.85,470.28
20oct1994,4724.4,5153.16,466.85
21oct1994,4561.9,5153.16,464.89
22oct1994,,,
23oct1994,,,
24oct1994,4344,5153.7,460.83
25oct1994,4543.3,5146.32,461.53
26oct1994,4663.7,5132.84,462.62
27oct1994,4706.7,5145.67,465.85
28oct1994,4927.5,5147.07,473.77
29oct1994,,,
30oct1994,,,
31oct1994,4797.9,5147.54,472.35
01nov1994,4700.8,5114.99,468.42
02nov1994,,5074.82,466.5
03nov1994,4508,5082.27,467.91
04nov1994,4666.6,5094.02,462.28
05nov1994,,,
06nov1994,,,
07nov1994,4808.7,5094.02,463.07
08nov1994,4782.1,5084.31,465.65
09nov1994,4885,5100.67,465.4
10nov1994,4992.5,5094.16,464.37
11nov1994,4951.9,5114.39,462.35
12nov1994,,,
13nov1994,,,
14nov1994,4948.7,5131.6,466.04
15nov1994,,5140.82,465.03
16nov1994,4989.5,5145.36,465.6
17nov1994,4873.7,5142.04,463.56
18nov1994,4712.4,,461.47
19nov1994,,,
20nov1994,,,
21nov1994,4483.4,5142.45,458.3
22nov1994,4494.8,5158.53,450.09
23nov1994,4393,5148.13,449.93
24nov1994,4573.3,5148.13,
25nov1994,4398.7,5145.64,452.29
26nov1994,,,
27nov1994,,,
28nov1994,4398.7,5156.58,454.16
29nov1994,4672,5161.97,455.17
30nov1994,4656,5182.5,453.69
01dec1994,4652.3,5195.77,448.92
02dec1994,4525.4,5189.47,453.3
03dec1994,,,
04dec1994,,,
05dec1994,4631.3,5178.52,453.32
06dec1994,4573,5173.66,453.11
07dec1994,4597.1,5177.15,451.23
08dec1994,4768.6,5186.61,445.45
09dec1994,4731.3,5181.91,446.96
10dec1994,,,
11dec1994,,,
12dec1994,4813.1,5186.93,449.47
13dec1994,4835.1,5193.92,450.15
14dec1994,4976.8,5203.01,454.97
15dec1994,4842.6,5199.91,455.34
16dec1994,4917.6,5211.06,458.8
17dec1994,,,
18dec1994,,,
19dec1994,4922.9,5218.83,457.91
20dec1994,4799,5173.71,457.1
21dec1994,4495.2,5175.39,459.61
22dec1994,4221.2,5167.1,459.67
23dec1994,4351.4,5167.72,459.83
24dec1994,,,
25dec1994,,,
26dec1994,4278.2,5173.53,
27dec1994,4113.7,5177.02,462.47
28dec1994,4195.3,5196.22,460.86
29dec1994,4353.9,5204.6,461.16
30dec1994,,5201.9,459.27
31dec1994,,,
01jan1995,,,
02jan1995,4319.1,5201.9,
03jan1995,4098,5182.91,459.11
04jan1995,3967.9,5182.21,460.71
05jan1995,4036.6,5184.16,460.34
06jan1995,3827.4,5179.67,460.68
07jan1995,,,
08jan1995,,,
09jan1995,3627.8,5199.47,460.83
10jan1995,,5206.89,461.68
11jan1995,3499.1,,461.66
12jan1995,3840.6,5208.31,461.64
13jan1995,4103.8,5233.4,465.97
14jan1995,,,
15jan1995,,,
16jan1995,4056.4,5250.14,469.38
17jan1995,4209.7,5255.05,470.05
18jan1995,4078.5,5260.85,469.72
19jan1995,3809.37,5254.09,466.95
20jan1995,3862.32,5256.26,464.78
21jan1995,,,
22jan1995,,,
23jan1995,3758.45,5260.14,465.81
24jan1995,3840.26,5266.28,465.86
25jan1995,,5273.12,467.44
26jan1995,3926.9,5273.65,468.32
27jan1995,3784.33,5271.87,470.39
28jan1995,,,
29jan1995,,,
30jan1995,3580.74,,468.51
31jan1995,3885.02,5287.47,470.42
01feb1995,3989.83,5297.76,470.4
02feb1995,3897.88,5302.32,472.78
03feb1995,3944.38,5307.17,478.64
04feb1995,,,
05feb1995,,,
06feb1995,3829.84,5315.02,481.14
07feb1995,3637.4,5328.34,480.81
08feb1995,3556.28,5357.94,481.19
09feb1995,3401.57,5383.29,480.19
10feb1995,3307.7,5373.23,481.46
11feb1995,,,
12feb1995,,,
13feb1995,3294.94,5384.02,481.65
14feb1995,3192.23,5385.08,482.55
15feb1995,3069.41,5396.37,484.54
16feb1995,2863.83,5392.63,485.22
17feb1995,3023.28,5394.53,481.97
18feb1995,,,
19feb1995,,,
20feb1995,2961.61,5398.69,
21feb1995,2793.07,5394.89,482.74
22feb1995,2872.39,5389.67,485.07
23feb1995,3217.42,5393.83,486.91
24feb1995,3270.88,5391.35,488.11
25feb1995,,,
26feb1995,,,
27feb1995,,5397.68,483.81
28feb1995,,5405.32,487.39
01mar1995,,5401.93,485.65
02mar1995,2989.09,,485.13
03mar1995,2988,,485.42
04mar1995,,,
05mar1995,,,
06mar1995,2867.17,5418.95,485.63
07mar1995,2615.71,5474.05,482.12
08mar1995,2363.32,5480.03,483.14
09mar1995,2138.28,5485.42,483.16
10mar1995,2686.16,5490.28,489.57
11mar1995,,,
12mar1995,,,
13mar1995,2670.87,5482.44,490.05
14mar1995,3016.91,5491.71,492.89
15mar1995,2939.43,5519.91,491.88
16mar1995,3141.72,5527.93,495.41
17mar1995,2981.13,5517.32,495.52
18mar1995,,,
19mar1995,,,
20mar1995,2870.06,5515.96,496.15
21mar1995,3006.13,5517.5,495.07
22mar1995,3003.95,5521.53,495.67
23mar1995,3145.62,5521.53,495.95
24mar1995,3361.21,5515.41,500.97
25mar1995,,,
26mar1995,,,
27mar1995,3372.26,5513.27,503.2
28mar1995,3255.77,5513.27,503.9
29mar1995,3198.17,5513.27,503.12
30mar1995,3125.53,5514.61,502.22
31mar1995,2978.96,5514.36,500.71
01apr1995,,,
02apr1995,,,
03apr1995,2893.52,5514.89,501.85
04apr1995,3125.12,5507.82,505.24
05apr1995,3180.39,5499.15,505.57
06apr1995,3254.59,5470.31,506.08
07apr1995,3192.64,5478.47,506.42
08apr1995,,,
09apr1995,,,
10apr1995,3114.1,5472.04,507.01
11apr1995,3017.77,5474.28,505.53
12apr1995,3020.77,5472.04,507.17
13apr1995,,5468.59,509.23
14apr1995,,5468,
15apr1995,,,
16apr1995,,,
17apr1995,3113.13,5473.04,506.13
18apr1995,3193.92,5473.04,505.37
19apr1995,3330.68,5471.09,504.92
20apr1995,3384.26,5487.15,505.29
21apr1995,,5485.75,508.49
22apr1995,,,
23apr1995,,,
24apr1995,3512.88,5489.03,512.89
25apr1995,3699.14,5487.06,512.1
26apr1995,3825.88,5494.95,512.66
27apr1995,3851.08,5485.22,513.55
28apr1995,3813.73,5470.68,514.71
29apr1995,,,
30apr1995,,,
01may1995,,,514.26
02may1995,3861.52,5462.43,514.86
03may1995,3975.96,5445.24,520.48
04may1995,4043.94,5446.48,520.54
05may1995,4008.24,5424.46,520.12
06may1995,,,
07may1995,,,
08may1995,3914.21,5419.86,523.96
09may1995,4065.41,5431.29,523.56
10may1995,4050.44,,524.36
11may1995,3951.07,,524.37
12may1995,3998.33,5424.44,525.55
13may1995,,,
14may1995,,,
15may1995,3894.05,5434.36,527.74
16may1995,3835.12,5430.78,528.1900000000001
17may1995,3964.36,5423.07,527.0700000000001
18may1995,4008.06,5423.23,519.58
19may1995,3950.01,5423.23,519.1900000000001
20may1995,,,
21may1995,,,
22may1995,4033.7,5423.23,523.65
23may1995,4048.7,,528.59
24may1995,4099.56,5433.84,528.61
25may1995,4018.95,5433.84,528.59
26may1995,3904.97,5420.53,523.65
27may1995,,,
28may1995,,,
29may1995,3896.31,5413.62,
30may1995,3706.81,5426.06,523.58
31may1995,3720.6,,533.4
01jun1995,3773.56,5431.15,533.49
02jun1995,3966.46,5429.78,532.51
03jun1995,,,
04jun1995,,,
05jun1995,4062.81,5438.07,535.6
